ⲃⲁⲣⲧⲓⲙⲁⲓⲟⲥ ⲉ ⲩ ⲃⲗⲗⲉ ⲡⲉ ⲡ ϣⲏⲣⲉ ⲛ ⲧⲓⲙⲁⲓⲟⲥ	ⲃⲁⲣⲧⲓⲙⲁⲓⲟⲥ	person	Bartimaeus (biblical character)	1
ⲃⲁⲥⲓⲗⲓⲟⲩ ⲉⲡⲓⲥⲕⲟⲡⲟⲩ	ⲃⲁⲥⲓⲗⲓⲟⲩ	person	Basil of Caesarea	1
ⲃⲉⲉⲗⲍⲉⲃⲟⲩⲗ	ⲃⲉⲉⲗⲍⲉⲃⲟⲩⲗ	person	Beelzebub	2
ⲃⲉⲉⲗⲍⲉⲃⲟⲩⲗ ⲉ ⲉⲓⲉⲛⲉⲧⲛ ϣⲏⲣⲉ ⲉ ⲩ ⲛⲟⲩϫⲉ ⲉⲃⲟⲗ ϩⲛ ⲛⲓⲙ	ⲃⲉⲉⲗⲍⲉⲃⲟⲩⲗ	person	Beelzebub	1
ⲃⲉⲉⲗⲍⲉⲃⲟⲩⲗ ⲡ ⲁⲣⲭⲱⲛ ⲛ ⲛ ⲇⲁⲓⲙⲱⲛⲓⲟⲛ	ⲃⲉⲉⲗⲍⲉⲃⲟⲩⲗ	person	Beelzebub	1
ⲃⲉⲛⲓⲁⲙⲓⲛ	ⲃⲉⲛⲓⲁⲙⲓⲛ	person	Benjamin	1
ⲃⲏⲇⲥⲁⲓⲇⲁ	ⲃⲏⲇⲥⲁⲓⲇⲁ	place	Bethsaida	1
ⲃⲏⲇⲥⲁⲓⲇⲁⲛ	ⲃⲏⲇⲥⲁⲓⲇⲁⲛ	place	Bethsaida	1
ⲃⲏⲑⲁⲛⲓⲁ	ⲃⲏⲑⲁⲛⲓⲁ	place	Bethany	4
ⲃⲏⲑⲗⲉⲉⲙ	ⲃⲏⲑⲗⲉⲉⲙ	place	Bethlehem	5
ⲃⲏⲑⲗⲉⲉⲙ ⲙ ⲡ ⲕⲁϩ ⲛ ⲓⲟⲩⲇⲁ	ⲃⲏⲑⲗⲉⲉⲙ	place	Bethlehem	2
ⲃⲏⲑⲗⲉⲉⲙ ⲛⲧⲉ ⲧ ⲓⲟⲩⲇⲁⲓⲁ	ⲃⲏⲑⲗⲉⲉⲙ	place	Bethlehem	1
ⲃⲏⲧⲫⲁⲅⲏ	ⲃⲏⲧⲫⲁⲅⲏ	place	Bethphage	1
ⲃⲟⲁⲛⲏⲣⲅⲉⲥ	ⲃⲟⲁⲛⲏⲣⲅⲉⲥ	person		1
ⲃⲟⲉⲥ	ⲃⲟⲉⲥ	person	Boaz	24
ⲃⲟⲉⲥ ⲡⲉ ⲉⲃⲟⲗ ϩⲛ ⲧ ⲥⲩⲅⲅⲉⲛⲉⲓⲁ ⲛ ⲁⲃⲓⲙⲉⲗⲉⲭ	ⲃⲟⲉⲥ	person	Boaz	1
ⲅⲁⲃⲣⲓⲏⲗ	ⲅⲁⲃⲣⲓⲏⲗ	person	Gabriel	1
ⲅⲁⲃⲣⲓⲏⲗ ⲛⲧ ⲁ ⲩ ⲧⲛⲛⲟⲟⲩ ⲧ ϣⲁⲣⲟ ⲕ	ⲅⲁⲃⲣⲓⲏⲗ	person	Gabriel	1
ⲅⲁⲃⲣⲓⲏⲗ ⲡ ⲁⲅⲅⲉⲗⲟⲥ	ⲅⲁⲃⲣⲓⲏⲗ	person	Gabriel	1
ⲅⲁⲓⲟⲥ	ⲅⲁⲓⲟⲥ	person	Gaius (biblical figure)	1
ⲅⲁⲗⲁⲁⲇ	ⲅⲁⲗⲁⲁⲇ	place	Gilead	1
ⲅⲏⲱⲛ ⲡⲁⲓ ⲉⲧ ⲧⲏϩ	ⲅⲏⲱⲛ	place	Nile	1
ⲅⲓⲉⲍⲉⲓ	ⲅⲓⲉⲍⲉⲓ	person	Gehazi	1
ⲅⲟⲗⲅⲟⲑⲁ	ⲅⲟⲗⲅⲟⲑⲁ	place	Calvary	1
ⲅⲟⲗⲅⲟⲑⲁ ⲉⲧⲉ ⲡ ⲙⲁ ⲙⲡ ⲉ ⲕⲣⲁⲛⲓⲟⲛ ⲡⲉ	ⲅⲟⲗⲅⲟⲑⲁ	place	Calvary	1
ⲅⲟⲗⲓⲁⲑ	ⲅⲟⲗⲓⲁⲑ	person	Goliath	1
ⲅⲟⲙⲟⲣⲣⲁ	ⲅⲟⲙⲟⲣⲣⲁ	place	Sodom and Gomorrah	5
ⲇⲁⲑⲁⲛ	ⲇⲁⲑⲁⲛ	person	Dathan	2
ⲇⲁⲗⲙⲁⲛⲟⲩⲑⲁ	ⲇⲁⲗⲙⲁⲛⲟⲩⲑⲁ	place	Dalmanutha	1
ⲇⲁⲙⲁⲥⲕⲟⲥ	ⲇⲁⲙⲁⲥⲕⲟⲥ	place	Damascus	1
ⲇⲁⲛⲓⲏⲗ	ⲇⲁⲛⲓⲏⲗ	person	Daniel (biblical figure)	18
ⲇⲁⲛⲓⲏⲗ ⲡⲉ ⲡⲣⲟⲫⲏⲧⲏⲥ	ⲇⲁⲛⲓⲏⲗ	person	Daniel (biblical figure)	1
ⲇⲁⲩⲉⲓⲇ	ⲇⲁⲩⲉⲓⲇ	person	David	35
ⲇⲁⲩⲉⲓⲇ ⲙ ⲡ ⲣⲣⲟ ϩⲟⲧⲉ	ⲇⲁⲩⲉⲓⲇ	person	David	1
ⲇⲁⲩⲉⲓⲇ ⲡ ϣⲏⲣⲉ ⲛ ⲁⲃⲣⲁϩⲁⲙ	ⲇⲁⲩⲉⲓⲇ	person	David	1
ⲇⲁⲩⲉⲓⲇ ⲡ ϣⲏⲣⲉ ⲛ ⲓⲉⲥⲥⲁⲓ	ⲇⲁⲩⲉⲓⲇ	person	David	1
ⲇⲁⲩⲉⲓⲇ ⲡ ⲣⲣⲟ	ⲇⲁⲩⲉⲓⲇ	person	David	1
ⲇⲁⲩⲉⲓⲇ ⲡⲉϥ ϩⲙϩⲁⲗ	ⲇⲁⲩⲉⲓⲇ	person	David	1
ⲇⲁⲩⲉⲓⲇ ⲡⲉϥ ⲉⲓⲱⲧ	ⲇⲁⲩⲉⲓⲇ	person	David	1
ⲇⲁⲩⲉⲓⲇ ⲧⲁ ϣⲉⲉⲣⲉ	ⲇⲁⲩⲉⲓⲇ	person	David	1
