#1|orig_group	count
ⲙ︤ⲛ︥ⲛ̄ⲁⲡⲟⲥⲧⲟⲗⲟⲥ	7
ⲡⲉⲛϫⲟⲉⲓⲥ	7
ⲉⲡϫⲟⲉⲓⲥ	7
ⲙ̇ⲙⲟⲟⲩ	7
ⲁⲥϣⲱⲡⲉ	7
ⲁϥⲟⲩⲱⲛϩ	7
ϩⲓⲟⲩⲥⲟⲡ	7
ϩⲓⲧⲟⲟⲧϥ	7
ⲉⲛϣⲁϫⲉ	7
ⲛ̄ϩⲱⲃ	7
ⲉϫⲟⲟⲥ	7
ⲙ̇ⲙⲁⲩ	7
ⲉⲩϩⲟⲟⲩ	7
ⲛϩⲏⲕⲉ	7
ⲛϭⲟⲛⲥ	7
ϩⲛⲧⲉⲕⲕⲗⲏⲥⲓⲁ	7
ⲛ̄ⲛ̄ⲣⲱⲙⲉ	7
ϩⲛⲟⲩⲛⲟϭ	7
ⲉⲛϭⲓϫ	6
ⲁⲩⲛⲁⲩ	6
ⲉⲟⲩⲟⲛ	6
ⲉⲡⲟⲟⲩ	6
ⲕⲟⲩⲱϣ	6
ⲉⲩⲟⲩⲱⲙ	6
ⲙⲁⲣⲓⲁ	6
ⲙⲟⲩⲧⲉ	6
ⲟⲩⲟⲓ̈	6
ⲡⲁⲗⲓⲛ	6
ⲡⲉⲟⲟⲩ	6
ⲣⲟⲉⲓⲥ	6
ⲧⲏⲣⲥ̄	6
ⲙⲛ̄ⲙⲏⲧ	6
ⲕⲁⲧⲁⲡϣⲁϫⲉ	6
ⲛⲉⲡⲣⲟⲫⲏⲧⲏⲥ	6
ⲉⲧⲃⲏⲏⲧⲛ	6
ⲉⲧⲉⲛⲁⲓ̈	6
ⲛⲑⲁⲗⲁⲥⲥⲁ	6
ⲉⲩⲙⲟⲟϣⲉ	6
ⲙⲏⲡⲟⲧⲉ	6
ⲙⲱⲩⲥⲏⲥ	6
ⲛⲟⲩⲛⲟϭ	6
ⲛⲥⲟⲫⲓⲁ	6
ⲛⲧⲟⲣⲅⲏ	6
ⲛⲧⲁⲡϫⲟⲉⲓⲥ	6
ⲡⲉⲧⲣⲟⲥ	6
ⲛ̄ⲧⲉⲡⲛⲟⲩⲧⲉ	6
ⲛ̄ⲁⲣⲭⲁⲓⲟⲥ`	6
ⲛ̄ⲁⲣⲭⲁⲓⲟⲥ	6
ⲁⲩϫⲛⲟⲩϥ	6
ⲉⲧⲣⲉϩⲉⲛϣⲏⲣⲉ	6
ⲙ̄ⲡϫⲟⲓ̈ⲥ	6
ⲛϥⲧⲱⲟⲩⲛ	6
ⲛ̄ϩ︤ⲙ︥ϩⲁⲗ`	6
ⲉϥϩⲙⲟⲟⲥ	6
ⲉϥϭⲟⲟⲗⲉ	6
ⲙⲛⲛⲣⲱⲙⲉ	6
ⲛ̄ⲧⲉⲩϣⲏ̂	6
ⲙ̄ⲡⲕⲁⲕⲉ	6
ⲙ̄ⲡⲣⲱⲙⲉ	6
ⲙⲡⲙⲏⲏϣⲉ	6
ⲙⲁⲣⲉϥϣⲱⲡⲉ	6
ⲙ̄ⲡⲉϩⲟⲟⲩ	6
ⲁϥⲟⲩⲉϩⲥⲁϩⲛⲉ	6
ⲡⲁⲛⲉⲧⲙⲟⲟⲩⲧ	6
ⲉⲛⲧⲁϥϫⲟⲟⲥ	6
ⲁⲩⲥⲱⲟⲩϩ	6
ⲛϭⲓⲡⲉⲧⲣⲟⲥ	6
ⲁ	6
ⲟ	6
⸱	6
ϣⲉ	6
[ ]	6
[.]	6
ⲱ̂	6
ⲕⲱ	6
ϩⲏⲡ	6
ⲛϭⲓ	6
