Ruth_02	ⲃⲟⲉⲥ ⲡⲉ ⲉⲃⲟⲗ ϩⲛ ⲧ ⲥⲩⲅⲅⲉⲛⲉⲓⲁ ⲛ ⲁⲃⲓⲙⲉⲗⲉⲭ	person	Boaz
Mark_06	ϩⲏⲣⲱⲇⲏⲥ ⲡ ⲣⲣⲟ	person	Herod II
dormition.john.mercad	ⲡ ⲥⲁⲧⲁⲛⲁⲥ	person	Satan
Mark_03	ⲑⲁⲇⲇⲁⲓⲟⲥ	person	Jude the Apostle
Ruth_03	ⲛⲟⲉⲙⲓⲛ	person	Naomi (biblical figure)
proclus.13.easter	ⲍⲁⲭⲁⲣⲓⲁⲥ	person	Zechariah ben Jehoiada
XL93-94	ⲁⲙⲛⲧⲉ	place	Duat
to_aphthonia	ⲉⲩϩⲁ	person	Eve
Ruth_02	ⲩ ⲇⲩⲛⲁⲧⲟⲥ ⲡⲉ ϩⲛ ⲧⲉϥ ϭⲟⲙ ⲉ ⲟⲩ ⲉⲃⲟⲗ ⲡⲉ ϩⲛ ⲧ ⲥⲩⲅⲅⲉⲛⲉⲓⲁ ⲛ ⲁⲃⲓⲙⲉⲗⲉⲭ ⲉ ⲡⲉϥ ⲣⲁⲛ ⲡⲉ ⲃⲟⲉⲥ	person	Boaz
Ruth_02	ϩⲣⲟⲩⲑ ⲧⲉⲥ ϣⲉⲗⲉⲉⲧ	person	Ruth (biblical figure)
proclus.13.easter	ⲙⲱⲩⲥⲏⲥ	person	Moses
a22.YA421-428	ⲡⲉⲛ ϫⲟⲉⲓⲥ ⲓⲏⲥⲟⲩⲥ ⲡⲉⲛ ⲉⲓⲱⲧ	person	Jesus
AP.029.syncletica.05	ⲧ ⲙⲁⲕⲁⲣⲓⲁ ⲥⲩⲛⲕⲗⲏⲧⲓⲕⲏ	person	Syncletica of Alexandria
Ruth_04	ⲓⲟⲩⲇⲁⲥ	person	Judah (son of Jacob)
exhortations	ⲙⲱⲩⲥⲏⲥ	person	Moses
life.onnophrius.01	ⲩ ⲥⲟⲛ ⲛ ⲁⲛⲁⲭⲱⲣⲓⲧⲏⲥ ⲉ ⲡⲉϥ ⲣⲁⲛ ⲡⲉ ⲁⲡⲁ ⲡⲁⲡⲛⲟⲩⲧⲉ	person	Paphnutius of Thebes
dormition.john.mercad	ⲡⲉⲧⲣⲟⲥ	person	Saint Peter
martyrdom.victor.01	ⲡ ⲛⲟⲩⲧⲉ ⲓⲏⲥⲟⲩⲥ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ	person	Jesus
dormition.john.mercad	ⲡ ϩⲁⲅⲓⲟⲥ · ⲓⲱϩⲁⲛⲛⲏⲥ · ⲡ ⲉⲩⲁⲅⲅⲉⲗⲓⲥⲧⲏⲥ · ⲁⲩⲱ ⲡ ⲁⲡⲟⲥⲧⲟⲗⲟⲥ ⲙ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ	person	John the Apostle
